contrarian,growth_slash_value1,growth_slash_value2,momentum_strategy,p_slash_e,price_slash_sales,scorecard,small_cap_growth,symbol,value
21,50,46,50,91,90,"[91, 29, 50, 50, 43, 21, 46, 90]",43,flws,29
29,25,23,50,0,50,"[0, 0, 50, 25, 29, 29, 23, 50]",29,pih,0
21,50,23,0,0,20,"[0, 29, 0, 50, 1, 21, 23, 20]",1,vnet,29
54,50,31,0,0,30,"[0, 14, 0, 50, 29, 54, 31, 30]",29,cafd,14
36,0,15,7,0,30,"[0, 0, 7, 0, 21, 36, 15, 30]",21,turn,0
14,25,31,64,0,60,"[0, 43, 64, 25, 56, 14, 31, 60]",56,eght,43
21,0,69,75,0,40,"[0, 0, 75, 0, 76, 21, 69, 40]",76,fccy,0
43,25,62,71,0,40,"[0, 57, 71, 25, 36, 43, 62, 40]",36,jobs,57
21,25,15,71,0,20,"[0, 29, 71, 25, 56, 21, 15, 20]",56,twou,29
29,40,77,68,0,40,"[0, 14, 68, 40, 73, 29, 77, 40]",73,srce,14
56,100,31,18,0,50,"[0, 57, 18, 100, 59, 56, 31, 50]",59,avhi,57
contrarian,growth_slash_value1,growth_slash_value2,momentum_strategy,p_slash_e,price_slash_sales,scorecard,small_cap_growth,symbol,value
29,25,23,50,0,50,"[0, 0, 50, 25, 29, 29, 23, 50]",29,pih,0
21,25,15,71,0,20,"[0, 29, 71, 25, 56, 21, 15, 20]",56,twou,29
54,50,31,0,0,30,"[0, 14, 0, 50, 29, 54, 31, 30]",29,cafd,14
57,25,38,0,0,50,"[0, 29, 0, 25, 28, 57, 38, 50]",28,abil,29
29,40,77,68,0,40,"[0, 14, 68, 40, 73, 29, 77, 40]",73,srce,14
21,40,31,11,0,30,"[0, 57, 11, 40, 47, 21, 31, 30]",47,abax,57
21,25,31,0,0,20,"[0, 43, 0, 25, 25, 21, 31, 20]",25,aciu,43
21,0,69,75,0,40,"[0, 0, 75, 0, 76, 21, 69, 40]",76,fccy,0
7,25,8,0,0,20,"[0, 14, 0, 25, 39, 7, 8, 20]",39,axas,14
14,25,31,7,0,20,"[0, 43, 7, 25, 65, 14, 31, 20]",65,abeo,43
57,25,46,71,56,40,"[56, 57, 71, 25, 45, 57, 46, 40]",45,abmd,57
36,50,62,71,74,60,"[74, 71, 71, 50, 47, 36, 62, 60]",47,aaon,71
14,25,31,64,0,60,"[0, 43, 64, 25, 56, 14, 31, 60]",56,eght,43
21,50,46,50,91,90,"[91, 29, 50, 50, 43, 21, 46, 90]",43,flws,29
36,0,15,7,0,30,"[0, 0, 7, 0, 21, 36, 15, 30]",21,turn,0
contrarian,growth_slash_value1,growth_slash_value2,momentum_strategy,p_slash_e,price_slash_sales,scorecard,small_cap_growth,symbol,value
21,50,23,0,0,20,"[0, 29, 0, 50, 1, 21, 23, 20]",1,vnet,29
54,50,31,0,0,30,"[0, 14, 0, 50, 29, 54, 31, 30]",29,cafd,14
29,40,77,68,0,40,"[0, 14, 68, 40, 73, 29, 77, 40]",73,srce,14
14,25,31,7,0,20,"[0, 43, 7, 25, 65, 14, 31, 20]",65,abeo,43
29,25,23,50,0,50,"[0, 0, 50, 25, 29, 29, 23, 50]",29,pih,0
21,25,15,71,0,20,"[0, 29, 71, 25, 56, 21, 15, 20]",56,twou,29
36,50,62,71,74,60,"[74, 71, 71, 50, 47, 36, 62, 60]",47,aaon,71
56,100,31,18,0,50,"[0, 57, 18, 100, 59, 56, 31, 50]",59,avhi,57
14,25,31,64,0,60,"[0, 43, 64, 25, 56, 14, 31, 60]",56,eght,43
21,50,46,50,91,90,"[91, 29, 50, 50, 43, 21, 46, 90]",43,flws,29
21,40,31,11,0,30,"[0, 57, 11, 40, 47, 21, 31, 30]",47,abax,57
43,25,62,71,0,40,"[0, 57, 71, 25, 36, 43, 62, 40]",36,jobs,57
57,25,38,0,0,50,"[0, 29, 0, 25, 28, 57, 38, 50]",28,abil,29
36,0,15,7,0,30,"[0, 0, 7, 0, 21, 36, 15, 30]",21,turn,0
14,50,38,0,0,40,"[0, 29, 0, 50, 5, 14, 38, 40]",5,shlm,29
,,,,,,,,abeow,
57,25,46,71,56,40,"[56, 57, 71, 25, 45, 57, 46, 40]",45,abmd,57
21,25,31,0,0,20,"[0, 43, 0, 25, 25, 21, 31, 20]",25,aciu,43
50,50,69,21,0,30,"[0, 43, 21, 50, 39, 50, 69, 30]",39,acia,43
21,0,69,75,0,40,"[0, 0, 75, 0, 76, 21, 69, 40]",76,fccy,0
7,25,8,0,0,20,"[0, 14, 0, 25, 39, 7, 8, 20]",39,axas,14
